Tweet,Suicide
making some lunch,not suicide post
you want his money,not suicide post
that crap took me forever to put together im going to go sleep for days,potential suicide post
kiwitweets hey jer since when did you start twittering,not suicide post
trying out quotdelicious library quot with mixed results the bar code thought i wanted to add a sport bra instead of a drill cool app tho,not suicide post
oh thats good to hear but is it over already or youll continue it after the holy week,not suicide post
uve got a list for fellow hotties you gonna have to share that one amigo,not suicide post
just because shane made a series on you doesnt mean people take you seriously y,potential suicide post
time for some warsaw beer garden chilling,not suicide post
i hate my life lmao i hope i die soon or sumn im too tired of everything,potential suicide post
everything your lover does for you is for her survival everything your mother does for you is for your survival,not suicide post
there is a stray cat on campus that looks like garfield the students are always feeding him so he is very fat like me,not suicide post
is on the go,not suicide post
i have an awful habit of avoiding writing papers by watching instagram live videos of the kids i used to nanny for,potential suicide post
haha well i have more but i dont have to do anything but file the rest away or delete them,not suicide post
goooooood hwore you,not suicide post
rt  i want to say ill never be active again not quite sure i dont have any reason to be on here anymore anyways bye everyone t,potential suicide post
focus on opportunities more than you focus on money,not suicide post
somebody please fucking kill me im so in love,potential suicide post
im at the point of the semester where im so tired of everything i just want to roll over and die,potential suicide post
gerrusengi want to die so much i dont want to be here anymore,potential suicide post
and i hate the fact if its true dojae will do surgery dojae has to endure the pain alone  without segye  a,potential suicide post
rt  when youre tired of living your life all you can do is close your eyes and go to sleep,potential suicide post
i am going to kill myself right now i am sorry you are feeling so desperate,potential suicide post
enjoy i just cant get into it this season but happy to know that youre getting your groove on,not suicide post
bloodstain on the carpet ready to gooo,not suicide post
really fuckin want this portion of my life to be over,potential suicide post
im very very hungry dont anyone on my timeline dare to talk about food  or ill seriously eat you up,not suicide post
mom always used to want everyone home before dark  as though anything was out there at night that wasnt there during the day,not suicide post
i think youll do whatever you want,not suicide post
that sounds so terrible thats how i was when my dad still lived w me but i hope it gets better for,potential suicide post
no just one shortly before the soap awards judging starts,not suicide post
just had a conversation with  about how dependent we seem to be of internet and mobile phones nowadays,not suicide post
oh yes i was reading that one,not suicide post
my life is so miserable and its not getting better,potential suicide post
you sau i stood up at  then off to offenbach home outside sunshine love you,not suicide post
she is not tired,not suicide post
rt  being a single mommy was never part of the plan but i wake up everyday and do my shit,potential suicide post
but what bezos de blasio and cuomo have down is walked into our little lego town kicked all of our lego towers a,potential suicide post
i want money,not suicide post
how was it so i know what to expect,not suicide post
mmm mummys culinary skills has been improving smells so good im loving home cooked food,not suicide post
i need to put myself to rest i ve crashed my motorcycle today i don t know how but i m mostly fine it was the most beautiful moment of my life i know it s sick to think that but it felt good to see people approach me to help me after the crash the feeling of my body being dragged by my bike for several meters on the ground looking at the sky while this one song played in my earphonesi ve just felt emptiness for the past yearsi don t want this second chance i want to get on my broken bike bring it up to speed one last time and then just end it all i just don t want to drown anymore please,potential suicide post
brushin mah teef secularly,not suicide post
ill be in london today wave if you see me,not suicide post
i am looking for the berocca then all will be well,not suicide post
thank you i thought it was pass it around have a great day luv ur stuff,not suicide post
i wanna die i dont deserve a piece of anything i dont belong anywhere im sick and tired of everything the sa,potential suicide post
i fucking hate my whole family all they do is making me feel fat and im so done with feeling bad about my body and,potential suicide post
i luv your blog too fashion is lt,not suicide post
sorry for your loss this post gave me goosebumps because although i havent thought of suicide your d,potential suicide post
ha ha i started something with the rocquestar thing didnt i,not suicide post
photoboth is black and white and wayyyyy old we call him herbert lol i love him hes like a living legend gotta love berlin lt,not suicide post
the one we were looking out for,not suicide post
he want to kill her,not suicide post
u  understand what the fuck im doing wrong with my life,potential suicide post
awwwwww i really wish i could be there to give ya some serious tlc rachel hunsending ya huge hugz and kisses,not suicide post
looking for help on testing prawn pdfs with cucumber all i can find is prawn and cucumber salad recipes,not suicide post
he should tell them that his sister fixed it,not suicide post
something weird in that i couldnt stop thinking about him couldnt sleep then out of some old papers a card i di,potential suicide post
congratulations john im a creepy actor not a sweet actor,not suicide post
he he thanks,not suicide post
in the photoshop,not suicide post
normal workday for me i do still have plansaspirations to submit some info for the miz mag  honest i do,not suicide post
easy way is to go to mbk and get it hacked  got a cn rom on his th phone,not suicide post
and i just dont want to fucking be here anymore please someone just fucking end me because i know itll be worse for everyone if i do it myself and fuck do i want to but please please someone just kill me please,potential suicide post
im tired,not suicide post
my cullen family jewellery set arrived this morning so happy,not suicide post
getting ready to take kids to the farm,not suicide post
these boys might find it shocking that some internet stranger like myself would say fuck these guys,potential suicide post
i ate candy cigarettes but i didnt eat the wax once i drank the coke i did however eat the candy lips,not suicide post
